,title,genres,average_rating,domestic_gross,foreign_gross,year,total_gross
0,Wazir,"Action,Crime,Drama",7.1,"$1,100,000.00","$18,700,000.00",2016,"$19,800,000.00"
1,On the Road,"Adventure,Drama,Romance",6.1,"$744,000.00","$8,000,000.00",2012,"$8,744,000.00"
2,On the Road,Drama,6.0,"$744,000.00","$8,000,000.00",2012,"$8,744,000.00"
3,On the Road,Drama,5.7,"$744,000.00","$8,000,000.00",2012,"$8,744,000.00"
4,The Secret Life of Walter Mitty,"Adventure,Comedy,Drama",7.3,"$58,200,000.00","$129,900,000.00",2013,"$188,100,000.00"
5,A Walk Among the Tombstones,"Action,Crime,Drama",6.5,"$26,300,000.00","$26,900,000.00",2014,"$53,200,000.00"
6,Jurassic World,"Action,Adventure,Sci-Fi",7.0,"$652,300,000.00","$1,019.40",2015,"$652,301,019.40"
7,Spy,"Action,Crime,Drama",6.6,"$110,800,000.00","$124,800,000.00",2015,"$235,600,000.00"
8,Spy,"Action,Comedy,Crime",7.0,"$110,800,000.00","$124,800,000.00",2015,"$235,600,000.00"
9,The Rum Diary,"Comedy,Drama",6.2,"$13,100,000.00","$10,800,000.00",2011,"$23,900,000.00"
10,American Pastoral,"Crime,Drama",6.1,"$544,000.00","$18,700,000.00",2016,"$19,244,000.00"
11,The Three Stooges,"Comedy,Family",5.1,"$44,300,000.00","$10,500,000.00",2012,"$54,800,000.00"
12,Tangled,"Adventure,Animation,Comedy",7.8,"$200,800,000.00","$391,000,000.00",2010,"$591,800,000.00"
13,John Carter,"Action,Adventure,Sci-Fi",6.6,"$73,100,000.00","$211,100,000.00",2012,"$284,200,000.00"
14,In Secret,"Crime,Drama,Thriller",6.2,"$444,000.00","$18,700,000.00",2014,"$19,144,000.00"
15,Cowboys & Aliens,"Action,Sci-Fi,Thriller",6.0,"$100,200,000.00","$74,600,000.00",2011,"$174,800,000.00"
16,Disconnect,"Drama,Mystery,Sci-Fi",4.5,"$1,400,000.00","$18,700,000.00",2013,"$20,100,000.00"
17,Disconnect,"Drama,Thriller",7.5,"$1,400,000.00","$18,700,000.00",2013,"$20,100,000.00"
18,Disconnect,"Comedy,Romance",8.1,"$1,400,000.00","$18,700,000.00",2013,"$20,100,000.00"
19,The Stanford Prison Experiment,"Biography,Drama,History",6.9,"$661,000.00","$18,700,000.00",2015,"$19,361,000.00"
20,Dinner for Schmucks,Comedy,5.9,"$73,000,000.00","$13,800,000.00",2010,"$86,800,000.00"
21,The A-Team,"Action,Adventure,Thriller",6.8,"$77,200,000.00","$100,000,000.00",2010,"$177,200,000.00"
22,The Possession,"Horror,Mystery,Thriller",5.9,"$49,100,000.00","$36,300,000.00",2012,"$85,400,000.00"
23,Real Steel,"Action,Drama,Family",7.1,"$85,500,000.00","$213,800,000.00",2011,"$299,300,000.00"
24,The Giver,"Drama,Romance,Sci-Fi",6.5,"$45,100,000.00","$21,900,000.00",2014,"$67,000,000.00"
25,Toy Story 3,"Adventure,Animation,Comedy",8.3,"$415,000,000.00","$652,000,000.00",2010,"$1,067,000,000.00"
26,Lincoln,"Biography,Drama,History",7.4,"$182,200,000.00","$93,100,000.00",2012,"$275,300,000.00"
27,Before We Go,"Comedy,Drama,Romance",6.8,"$37,200.00","$18,700,000.00",2015,"$18,737,200.00"
28,Before We Go,"Documentary,Drama,News",7.0,"$37,200.00","$18,700,000.00",2015,"$18,737,200.00"
29,Scott Pilgrim vs. the World,"Action,Comedy,Fantasy",7.5,"$31,500,000.00","$16,100,000.00",2010,"$47,600,000.00"
30,Puss in Boots,"Action,Adventure,Animation",6.6,"$149,300,000.00","$405,700,000.00",2011,"$555,000,000.00"
31,Wonder Woman,"Action,Adventure,Fantasy",7.5,"$412,600,000.00","$409,300,000.00",2017,"$821,900,000.00"
32,Wonder Woman,Sci-Fi,4.2,"$412,600,000.00","$409,300,000.00",2017,"$821,900,000.00"
33,Wonder Woman,"Documentary,Drama,Sport",6.9,"$412,600,000.00","$409,300,000.00",2017,"$821,900,000.00"
34,Life of Pi,"Adventure,Drama,Fantasy",7.9,"$125,000,000.00","$484,000,000.00",2012,"$609,000,000.00"
35,Being Flynn,Drama,6.4,"$540,000.00","$18,700,000.00",2012,"$19,240,000.00"
36,The Crazies,"Horror,Thriller",6.5,"$39,100,000.00","$15,700,000.00",2010,"$54,800,000.00"
37,The Equalizer,"Action,Crime,Thriller",7.2,"$101,500,000.00","$90,800,000.00",2014,"$192,300,000.00"
38,Captain America: The First Avenger,"Action,Adventure,Sci-Fi",6.9,"$176,700,000.00","$193,900,000.00",2011,"$370,600,000.00"
39,A Long Way Down,"Comedy,Drama",6.4,"$13,300.00","$7,200,000.00",2014,"$7,213,300.00"
