,title,genres,average_rating,domestic_gross,foreign_gross,year,total_gross
0,Wazir,"Action,Crime,Drama",7.1,1100000.0,18900000.0,2016,20000000.0
1,On the Road,"Adventure,Drama,Romance",6.1,744000.0,8000000.0,2012,8744000.0
2,On the Road,Drama,6.0,744000.0,8000000.0,2012,8744000.0
3,On the Road,Drama,5.7,744000.0,8000000.0,2012,8744000.0
4,The Rum Diary,"Comedy,Drama",6.2,13100000.0,10800000.0,2011,23900000.0
5,American Pastoral,"Crime,Drama",6.1,544000.0,18900000.0,2016,19444000.0
6,In Secret,"Crime,Drama,Thriller",6.2,444000.0,18900000.0,2014,19344000.0
7,Disconnect,"Drama,Mystery,Sci-Fi",4.5,1400000.0,18900000.0,2013,20300000.0
8,Disconnect,"Drama,Thriller",7.5,1400000.0,18900000.0,2013,20300000.0
9,Disconnect,"Comedy,Romance",8.1,1400000.0,18900000.0,2013,20300000.0
10,The Stanford Prison Experiment,"Biography,Drama,History",6.9,661000.0,18900000.0,2015,19561000.0
11,Before We Go,"Comedy,Drama,Romance",6.8,37200.0,18900000.0,2015,18937200.0
12,Before We Go,"Documentary,Drama,News",7.0,37200.0,18900000.0,2015,18937200.0
13,Being Flynn,Drama,6.4,540000.0,18900000.0,2012,19440000.0
14,A Long Way Down,"Comedy,Drama",6.4,13300.0,7200000.0,2014,7213300.0
15,The Only Living Boy in New York,Drama,6.3,624000.0,1900000.0,2017,2524000.0
16,Saving Private Perez,"Adventure,Comedy,Western",6.0,1400000.0,7900000.0,2011,9300000.0
17,High-Rise,"Drama,Horror,Sci-Fi",5.6,346000.0,18900000.0,2016,19246000.0
18,Margaret,Drama,6.5,46500.0,18900000.0,2011,18946500.0
19,The Tree of Life,"Drama,Fantasy",6.8,13300000.0,41000000.0,2011,54300000.0
20,Suburbicon,"Comedy,Crime,Drama",5.6,5800000.0,18900000.0,2017,24700000.0
21,Tulip Fever,"Drama,History,Romance",6.2,2500000.0,5900000.0,2017,8400000.0
22,The Hero of Color City,"Animation,Family",4.0,32200.0,18900000.0,2014,18932200.0
23,What's Your Number?,"Comedy,Romance",6.1,14000000.0,16399999.0,2011,30399999.0
24,Samsara,"Documentary,Music",8.5,2700000.0,18900000.0,2012,21600000.0
25,The Man Who Knew Infinity,"Biography,Drama",7.2,3900000.0,8400000.0,2016,12300000.0
26,The First Grader,"Biography,Drama,Romance",7.5,332000.0,382000.0,2011,714000.0
27,Miles Ahead,"Biography,Drama,Music",6.4,2600000.0,850000.0,2016,3450000.0
28,The Guardians,"Comedy,Family",7.8,177000.0,18900000.0,2018,19077000.0
29,The Guardians,"Drama,War",6.8,177000.0,18900000.0,2018,19077000.0
30,The Guardians,"Action,Adventure,Comedy",4.1,177000.0,18900000.0,2018,19077000.0
31,It's Kind of a Funny Story,"Comedy,Drama,Romance",7.1,6400000.0,128000.0,2010,6528000.0
32,The Danish Girl,"Biography,Drama,Romance",7.1,11100000.0,53100000.0,2015,64200000.0
33,Take Me Home Tonight,"Comedy,Drama,Romance",6.3,6900000.0,18900000.0,2011,25800000.0
34,Flipped,"Comedy,Drama,Romance",7.7,1800000.0,18900000.0,2010,20700000.0
35,Flipped,"Drama,Thriller",6.0,1800000.0,18900000.0,2010,20700000.0
36,The Babymakers,Comedy,5.0,7900.0,18900000.0,2012,18907900.0
37,Hoodwinked Too! Hood vs. Evil,"Animation,Comedy,Crime",4.8,10100000.0,6800000.0,2011,16900000.0
38,The Sweeney,"Action,Crime,Drama",6.1,26700.0,6300000.0,2013,6326700.0
39,My Soul to Take,"Horror,Mystery,Thriller",4.8,14700000.0,6200000.0,2010,20900000.0
40,Red State,"Action,Crime,Horror",6.2,1100000.0,18900000.0,2011,20000000.0
41,Please Give,"Comedy,Drama",6.6,4000000.0,280000.0,2010,4280000.0
42,Legends of Oz: Dorothy's Return,"Adventure,Animation,Family",5.5,8500000.0,10200000.0,2014,18700000.0
43,From Prada to Nada,"Comedy,Drama,Romance",5.6,3000000.0,123000.0,2011,3123000.0
44,The Whistleblower,"Action,Biography,Crime",7.2,1100000.0,18900000.0,2011,20000000.0
45,Love & Mercy,"Biography,Drama,Music",7.4,12600000.0,16100000.0,2015,28700000.0
46,Rabbit Hole,Drama,7.0,2200000.0,2900000.0,2010,5100000.0
47,The Killer Inside Me,"Crime,Drama,Horror",6.1,217000.0,3800000.0,2010,4017000.0
48,The Conspirator,"Crime,Drama,History",6.9,11500000.0,3900000.0,2011,15400000.0
49,Hitchcock,"Biography,Comedy,Drama",6.8,6000000.0,17600000.0,2012,23600000.0
50,The Young Messiah,"Drama,Fantasy",5.6,6500000.0,18900000.0,2016,25400000.0
51,Dylan Dog: Dead of Night,"Action,Comedy,Crime",5.1,1200000.0,3400000.0,2011,4600000.0
52,Child 44,"Crime,Drama,History",6.5,1200000.0,11700000.0,2015,12900000.0
53,The Runaways,"Biography,Drama,Music",6.6,3600000.0,1100000.0,2010,4700000.0
54,The Runaways,Adventure,9.2,3600000.0,1100000.0,2010,4700000.0
55,Centurion,"Action,Adventure,Drama",6.4,124000.0,6700000.0,2010,6824000.0
56,Certified Copy,"Drama,Romance",7.3,1400000.0,4099999.0,2011,5499999.0
57,Babies,Documentary,7.1,7300000.0,2200000.0,2010,9500000.0
58,The Way Back,"Adventure,Drama,History",7.3,2700000.0,17600000.0,2011,20300000.0
59,Krrish 3,"Action,Adventure,Sci-Fi",5.3,2200000.0,18900000.0,2013,21100000.0
60,The Warrior's Way,"Action,Fantasy,Western",6.3,5700000.0,5400000.0,2010,11100000.0
61,Iron Sky,"Action,Comedy,Sci-Fi",5.9,122000.0,8000000.0,2012,8122000.0
62,Suspiria,"Fantasy,Horror,Mystery",6.8,2500000.0,5400000.0,2018,7900000.0
63,The Nutcracker in 3D,"Action,Family,Fantasy",4.3,195000.0,16000000.0,2010,16195000.0
64,Unfinished Song,"Comedy,Drama,Music",7.0,1700000.0,5300000.0,2013,7000000.0
65,Howl,"Biography,Drama,Romance",6.8,617000.0,566000.0,2010,1183000.0
66,Howl,"Action,Fantasy,Horror",5.3,617000.0,566000.0,2010,1183000.0
67,Repo Men,"Action,Crime,Sci-Fi",6.3,13800000.0,4600000.0,2010,18400000.0
68,The Big Year,Comedy,6.2,7200000.0,244000.0,2011,7444000.0
69,Adult World,"Comedy,Drama",6.2,25400.0,18900000.0,2014,18925400.0
70,Jonah Hex,"Action,Drama,Fantasy",4.7,10500000.0,356000.0,2010,10856000.0
71,Hysteria,"Horror,Thriller",6.7,1800000.0,7700000.0,2012,9500000.0
72,Hysteria,"Comedy,Romance",6.7,1800000.0,7700000.0,2012,9500000.0
73,Hysteria,"Drama,Thriller",7.4,1800000.0,7700000.0,2012,9500000.0
74,Eddie the Eagle,"Biography,Comedy,Drama",7.4,15800000.0,30400000.0,2016,46200000.0
75,Shanghai,"Crime,Drama,Mystery",6.4,46400.0,9200000.0,2015,9246400.0
76,Shanghai,"Crime,Mystery,Thriller",7.2,46400.0,9200000.0,2015,9246400.0
77,The Quiet Ones,"Drama,Horror,Thriller",5.8,8500000.0,9300000.0,2014,17800000.0
78,The Quiet Ones,"Horror,Mystery,Thriller",5.1,8500000.0,9300000.0,2014,17800000.0
79,Foxcatcher,"Biography,Drama,Sport",7.0,12100000.0,18900000.0,2014,31000000.0
80,Eva,Drama,5.4,16700.0,18900000.0,2015,18916700.0
81,Eva,"Drama,Fantasy,Sci-Fi",6.7,16700.0,18900000.0,2015,18916700.0
82,Eva,"Drama,Romance",5.7,16700.0,18900000.0,2015,18916700.0
83,Eva,"Drama,Romance",4.6,16700.0,18900000.0,2015,18916700.0
84,Dirty Girl,"Comedy,Drama",6.5,55100.0,18900000.0,2011,18955100.0
85,Trance,Horror,4.6,2300000.0,21900000.0,2013,24200000.0
86,Trance,"Crime,Drama,Mystery",6.9,2300000.0,21900000.0,2013,24200000.0
87,Blue Valentine,"Drama,Romance",7.4,9700000.0,2600000.0,2010,12300000.0
88,Big Eyes,"Biography,Crime,Drama",7.0,14500000.0,14800000.0,2014,29300000.0
89,Big Eyes,Documentary,7.2,14500000.0,14800000.0,2014,29300000.0
90,2:22,Thriller,5.8,400.0,18900000.0,2017,18900400.0
91,Lay the Favorite,"Comedy,Drama,Romance",4.8,21000.0,1600000.0,2012,1621000.0
92,A Tale of Love and Darkness,"Biography,Drama,History",6.0,572000.0,18900000.0,2016,19472000.0
