,id,rating,director,theater_date,box_office,studio,genre
0,1,R,William Friedkin,1971,20900803,Universal Pictures,Action and Adventure
1,3,R,David Cronenberg,2012,600000,Entertainment One,Drama
2,5,R,Allison Anders,1996,20900803,Universal Pictures,Drama
3,6,R,Barry Levinson,1994,20900803,Universal Pictures,Drama
4,7,NR,Rodney Bennett,1987,20900803,Universal Pictures,Drama
5,8,PG,Jay Russell,2000,20900803,Warner Bros. Pictures,Drama
6,10,PG-13,Jake Kasdan,2002,41032915,Paramount Pictures,Comedy
7,13,R,Ray Lawrence,2006,224114,Sony Pictures Classics,Drama
8,14,R,Taylor Hackford,2010,134904,Universal Pictures,Drama
9,15,PG-13,Frank Marshall,1995,20900803,Universal Pictures,Action and Adventure
10,17,R,Steven Spielberg,1987,20900803,Universal Pictures,Drama
11,18,NR,Steven Spielberg,1987,20900803,Showtime Documentary Films,Documentary
12,19,NR,Steven Spielberg,2002,20900803,Seventh Art Releasing,Documentary
13,20,PG-13,William Friedkin,1968,20900803,Universal Pictures,Classics
14,21,R,Peter Baldwin,1997,20900803,Universal Pictures,Comedy
15,22,R,George Hickenlooper,2010,1039869,ATO Pictures,Comedy
16,23,R,Steven Spielberg,2013,99165609,Sony Pictures,Drama
17,24,PG,Rick Rosenthal,1987,20900803,Universal Pictures,Action and Adventure
18,25,PG-13,Carl Erik Rinsch,2013,20518224,Universal Pictures,Action and Adventure
19,26,R,Jim Jarmusch,2004,1971135,MGM,Art House and International
20,27,NR,Steven Spielberg,1987,20900803,Universal Pictures,Musical and Performing Arts
21,28,G,Steven Spielberg,1966,20900803,Universal Pictures,Classics
22,29,PG,Martyn Burke,1981,20900803,Universal Pictures,Action and Adventure
23,33,R,Keith Gordon,1996,20900803,Universal Pictures,Action and Adventure
24,34,PG-13,John Woo,2000,20900803,Paramount Pictures,Action and Adventure
25,35,R,Michael Polish,1999,20900803,Universal Pictures,Drama
26,38,R,Roy Ward Baker,1970,20900803,Universal Pictures,Art House and International
27,39,R,David Arquette,2007,20900803,After Dark Films/Freestyle Releasing,Horror
28,40,R,John Sayles,2003,312136,Universal Pictures,Drama
29,41,R,Ken Loach,2003,201010,Lions Gate Films,Drama
30,42,G,Steven Spielberg,1987,20900803,Universal Pictures,Action and Adventure
31,43,NR,William Wellman,1987,20900803,Universal Pictures,Classics
32,44,R,Pauly Shore,2003,20900803,Regent Releasing,Comedy
33,45,PG,Steve Boyum,1987,20900803,Universal Pictures,Comedy
34,46,R,Peter Cattaneo,1997,20900803,Universal Pictures,Comedy
35,48,NR,Edward Dmytryk,1987,20900803,Universal Pictures,Action and Adventure
