,id,rating,director,year,box_office,genre
1,3,R,David Cronenberg,2012,600000,Drama
6,10,PG-13,Jake Kasdan,2002,41032915,Comedy
7,13,R,Ray Lawrence,2006,224114,Drama
8,14,R,Taylor Hackford,2010,134904,Drama
15,22,R,George Hickenlooper,2010,1039869,Comedy
18,25,PG-13,Carl Erik Rinsch,2013,20518224,Action and Adventure
19,26,R,Jim Jarmusch,2004,1971135,Art House and International
28,40,R,John Sayles,2003,312136,Drama
29,41,R,Ken Loach,2003,201010,Drama
48,61,R,James Wong,2006,54100000,Action and Adventure
51,65,PG,Kevin Lima,2007,127706877,Comedy
52,66,R,Niels Arden Oplev,2013,10880926,Mystery and Suspense
60,75,R,Patrick Lussier,2011,10706786,Action and Adventure
61,77,PG-13,Tom Hanks,2011,35565975,Comedy
69,87,PG,Bruce Beresford,2010,4806750,Art House and International
76,95,R,Ben Younger,2016,5051927,Drama
86,108,R,Derrick Borte,2010,1000000,Comedy
97,124,PG-13,Rob Bowman,2002,42929971,Action and Adventure
106,136,R,Christian Alvart,2010,13248477,Horror
120,153,PG,Thor Freudenthal,2010,64001297,Comedy
121,155,R,Jennifer Jason Leigh|Alan Cumming,2001,2974308,Comedy
123,158,PG-13,Clint Eastwood,2009,37431431,Drama
124,159,PG-13,Sam Weisman,2003,22715908,Comedy
125,160,PG-13,Martin Campbell,2000,67771442,Action and Adventure
130,165,R,Jamie Blanks,2001,19755422,Horror
139,182,PG,Thor Freudenthal,2009,73023275,Action and Adventure
144,188,R,Colin Trevorrow,2012,4007792,Comedy
146,191,NR,Rakeysh Omprakash Mehra|Rakeysh Omprakesh Mehra,2013,1626289,Drama
151,196,PG-13,Jeff Byrd,2005,3998889,Comedy
159,210,PG-13,Derek Cianfrance,2016,12533911,Drama
160,211,R,Lars von Trier,2000,2839256,Drama
165,218,PG-13,Gore Verbinski,2002,128579698,Drama
173,227,PG,Todd Graff,2009,5205343,Comedy
188,249,R,Stan Lathan|Vondie Curtis-Hall,2006,21318194,Action and Adventure
189,250,R,Neil Jordan,2013,84293,Art House and International
190,251,R,Todd Haynes,2015,8518148,Drama
198,263,R,Rob Zombie,2003,12583510,Horror
201,267,R,Mark Helfrich,2007,35000629,Comedy
214,281,R,Seth MacFarlane,2014,37331031,Comedy
218,285,R,Tim Heidecker|Eric Wareheim,2012,145778,Comedy
223,290,R,Michael Mann,2006,63400000,Action and Adventure
230,300,PG-13,Ryan Murphy,2010,80574010,Drama
231,301,PG-13,David Koepp,2004,47781388,Drama
234,304,R,Jennifer Westfeldt,2012,5600000,Comedy
242,313,R,David Lowery,2013,200000,Drama
246,321,R,Seth Gordon,2013,134455175,Comedy
247,322,R,Guillermo del Toro,2015,25957696,Horror
249,326,PG-13,Mike Leigh,2010,3200000,Comedy
253,331,PG-13,Jeffrey Levy-Hinte,2009,200000,Documentary
259,337,R,Yimou Zhang,2011,308164,Art House and International
260,338,PG-13,Clint Eastwood,2010,32741596,Drama
261,345,PG-13,Tyler Perry,2014,15986272,Comedy
269,355,R,Michael Tiddes,2014,13710572,Comedy
270,356,R,Laurence Dunmore,2006,4756532,Drama
271,357,PG,Jorge Blanco,2009,42194060,Action and Adventure
278,367,PG-13,Stephen Bradley,2015,347321,Drama
287,377,R,Ang Lee,2009,7366736,Comedy
311,410,R,Darnell Martin,2008,8134217,Drama
318,418,PG-13,Pete Travis,2008,72266306,Action and Adventure
323,423,NR,Dave Grohl,2013,419361,Documentary
326,427,PG,Bruce Beresford,2002,1341151,Art House and International
330,433,PG-13,Doug Liman,2002,121500000,Action and Adventure
338,443,PG-13,Tim Story,2005,154485963,Action and Adventure
346,452,PG,Kevin Munroe,2007,54132596,Action and Adventure
347,453,PG,John Schultz,2009,24967943,Action and Adventure
349,456,R,Christophe Gans,2006,46982632,Action and Adventure
351,458,PG-13,Woody Allen,2011,55400000,Comedy
356,465,PG,Rowdy Herrington,2004,2536460,Drama
358,468,PG-13,Brian Robbins,2001,39697363,Comedy
359,469,PG-13,Leon Gast,2010,2367,Documentary
370,482,PG,Simon Wells,2011,21379315,Action and Adventure
371,483,NR,Jayro Bustamante,2016,292923,Art House and International
373,486,NR,Nanni Moretti,2012,480926,Comedy
378,491,PG,Adam Shankman,2005,82468131,Comedy
389,504,PG,Jared Hess,2004,44478018,Comedy
390,505,R,Jordan Vogt-Roberts,2013,1300000,Comedy
400,520,PG,John Stephenson,2013,2209479,Drama
406,528,R,Tamara Jenkins,2007,6426953,Comedy
412,539,R,Jenniphr Goodman,2000,2586310,Art House and International
414,542,R,John Dahl,2001,21254983,Action and Adventure
423,554,PG-13,Jimmy Hayward,2010,10500000,Action and Adventure
430,563,PG-13,Clare Kilner,2005,32000000,Comedy
434,567,PG-13,Trish Sie,2017,104880310,Comedy
436,572,PG-13,Dennis Dugan,2003,35764982,Action and Adventure
443,582,R,Anton Corbijn,2014,14037964,Drama
450,590,PG-13,Justin Chadwick,2008,26800000,Drama
454,596,G,Adam Ravetch|Sarah Robertson,2007,598103,Documentary
466,610,PG-13,Florian Henckel von Donnersmarck,2010,67631157,Action and Adventure
467,611,R,Clint Eastwood,2003,88800000,Drama
477,623,R,Guy Maddin,2012,22099,Art House and International
479,626,R,James Isaac,2002,12610731,Horror
492,643,PG-13,Dave McCary,2017,529426,Comedy
504,661,PG,Joel Zwick,2002,241250669,Comedy
509,667,PG,Clay Kaytis|Fergal Reilly,2016,107506776,Animation
512,672,PG-13,Bill Duke,2009,10572742,Drama
513,673,PG,Mike Tollin|Michael Tollin,2003,52277485,Drama
